city,hostel_name,hostel_url,hostel_img,hostel_alt_img,hostel_review,nb_squares,nb_stars,hostel_type,lat_long,description
Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/122592840.jpg?k=1a65c151f06a93e6bc1c22a84fd834e6fe9ef437ecf08ae865dc9c6259c615d6&o=&hp=1,a bedroom with a bed and a lamp at Hôtel Vert in Le Mont Saint Michel,8.0,0,2,Hotel,"48.61470049,-1.50961697","Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast."
Mont Saint Michel,"Manoir de la Roche Torin, The Originals Relais (Relais du Silence)",https://www.booking.com/hotel/fr/le-manoir-de-la-roche-torin.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/81443390.jpg?k=f8e0ff90b38b2802900e6066abc518e13c73896444ec4f3b94fb859157d11864&o=&hp=1,"a large building with a clock on the front of it at Manoir de la Roche Torin, The Originals Relais (Relais du Silence) in Courtils",7.9,0,3,Hotel,"48.63727298,-1.42506182","Located in Courtils, Manoir de la Roche Torin, The Originals Relais is 10 km from the Mont-Saint-Michel. It offers free WiFi access, a garden and views of the Mont-Saint-Michel Abbey. The hotel’s restaurant is set in a conservatory."
Mont Saint Michel,Vacancéole - Le Domaine du Mont - Mont St Michel,https://www.booking.com/hotel/fr/et-residence-club-mmv-le-domaine-du-mont.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/251470293.jpg?k=12c99ca789fb8b63b68c44fa56d3481682e9a214ef9a81fd756a140f101bfef3&o=&hp=1,a large building with a train on top of it at Vacancéole - Le Domaine du Mont - Mont St Michel in Roz-sur-Couesnon,7.2,0,3,Hotel,"48.59352509,-1.59637034","Located just 18 km from Mont Saint Michel in Roz-Sur-Couesnon,  Vacancéole Le Domaine du Mont offers a shaded outdoor terrace. Some of the rooms are air conditioned."
Mont Saint Michel,Ermitage - Mont-Saint-Michel,https://www.booking.com/hotel/fr/ermitage-mont-saint-michel-beauvoir.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/332939987.jpg?k=85e4663b83486e055a080a6fca2a1c1faaac44788749e3b328d957a669bdbded&o=&hp=1,a hotel room with a large bed and a large window at Ermitage - Mont-Saint-Michel in Beauvoir,8.4,0,5,Hotel,"48.59449000,-1.51142900","Situated in Beauvoir, 5.4 km from Mont Saint Michel Abbey, Ermitage - Mont-Saint-Michel features accommodation with a restaurant, free private parking, a bar and a shared lounge. Among the facilities at this property are room service and a concierge service, along with free WiFi throughout the property. The property offers bike hire and features a garden and terrace."
Mont Saint Michel,Le Beauvoir,https://www.booking.com/hotel/fr/le-beauvoir-beauvoir.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/214715455.jpg?k=3d7c53a3798847500f620f18b34308b142950e3f6737485ff21577b21bb2ad40&o=&hp=1,a red brick building with a red umbrella at Le Beauvoir in Beauvoir,7.6,0,2,Hotel,"48.59771334,-1.51309848",Le Beauvoir is located just 4 kilometres from Mont Saint Michel and a 20-minute drive from Cancale. It offers free private parking and a restaurant.
Mont Saint Michel,Hotel Rose,https://www.booking.com/hotel/fr/gue-de-beauvoir.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/2596929.jpg?k=596f3f21d39d2dbe100617d358edf888014045c0be26b46584b9aed9284c279e&o=&hp=1,a house with a boat in the water at Hotel Rose in Beauvoir,8.4,0,2,Hotel,"48.59706233,-1.51303947","Composed of thoughtfully designed independent bungalows and guestrooms in the annex house of a 19th-century building, Hotel Rose offers comfortable accommodation and a peaceful atmosphere."
Mont Saint Michel,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/164879239.jpg?k=de3eceea9d30f75147c0aae737ed6e3768bc419895d4c856145cbf9581b960e6&o=&hp=1,a bedroom with a bed and a lamp at Auberge de la Baie in Ardevon,7.9,0,2,Hotel,"48.61599318,-1.48825318",This hotel is situated in the countryside of Normandy and offers free Wi-Fi and an on-site restaurant with a terrace.
Mont Saint Michel,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/13849841.jpg?k=eba032e5d5fd9558e528f197c9bd9ddebb8bb4cbdd0dfa5488e9ec0fc8293284&o=&hp=1,a hotel room with two beds and a table at Hôtel la Croix Blanche in Le Mont Saint Michel,7.6,0,3,Hotel,"48.63573406,-1.50986105","The rooms at Hôtel La Croix Blanche have a flat-screen, satellite TV and a minibar. Free Wi-Fi access is provided."
Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/122643267.jpg?k=c0186f70828e9eeb2306c01f82d769dd840f8919781b18a51cf01e0a369535f7&o=&hp=1,a hotel room with two beds and a television at Le Relais Du Roy in Le Mont Saint Michel,7.9,0,3,Hotel,"48.61626270,-1.51090577","Le Relais Du Roy is a 3-star hotel situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 m from the free shuttle bus."
Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgJWANoTYgBAZgBCbgBGMgBBdgBA-gBAfgBA4gCAZgCAqgCBLgCzYimmgbAAgHSAiQwODYyY2NjYS0xMmZmLTRjOGMtYTJmZi02YTI5YTUwZmFlYTPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D204&srpvid=32eb6ee6cd04018f&srepoch=1665762382&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/10778637.jpg?k=0b56936658653315c7a03a4e29ed8131f65e199ee187ab073de9b667ce035b17&o=&hp=1,a restaurant with tables and chairs in it at Auberge Saint Pierre in Le Mont Saint Michel,7.9,0,3,Hotel,"48.63568798,-1.50988251",The guest rooms at Auberge Saint Pierre have a private bathroom with a bath or shower. Some rooms have views of the sea.
