,city,lat,lon,feels_avg,temp_avg,humid_avg,wind_avg,cloud_descr_avg,pop_avg,date_forecast_start,date_forecast_end
0,Mont Saint Michel,48.6359541,-1.511459954959514,18.0,18.366666666666664,66.66666666666667,3.4299999999999997,scattered clouds,0.0,1664841600.0,1665262800.0
1,St Malo,48.649518,-2.0260409,17.563333333333333,17.89,70.0,3.3866666666666667,scattered clouds,0.0,1664841600.0,1665262800.0
2,Bayeux,49.2764624,-0.7024738,17.76,18.18,65.33333333333333,4.85,broken clouds,0.0,1664841600.0,1665262800.0
3,Le Havre,49.4938975,0.1079732,17.166666666666668,17.506666666666664,71.0,4.043333333333334,scattered clouds,0.0,1664841600.0,1665262800.0
4,Rouen,49.4404591,1.0939658,15.51,16.2425,64.0,3.3274999999999997,scattered clouds,0.0,1664841600.0,1665262800.0
5,Paris,48.8588897,2.3200410217200766,15.940000000000001,16.895000000000003,49.75,2.1325000000000003,broken clouds,0.0,1664841600.0,1665262800.0
6,Amiens,49.8941708,2.2956951,14.809999999999999,15.7725,60.25,3.8449999999999998,broken clouds,0.0,1664841600.0,1665262800.0
7,Lille,50.6365654,3.0635282,14.620000000000001,15.6125,61.25,4.265,overcast clouds,0.0,1664841600.0,1665262800.0
8,Strasbourg,48.584614,7.7507127,13.1875,13.8075,67.75,0.9724999999999999,broken clouds,0.0,1664841600.0,1665262800.0
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,11.24,11.9725,68.0,1.12,broken clouds,0.0,1664841600.0,1665262800.0
10,Colmar,48.0777517,7.3579641,14.309999999999999,14.835,67.75,1.1375000000000002,broken clouds,0.0,1664841600.0,1665262800.0
11,Eguisheim,48.0447968,7.3079618,14.545,15.062500000000002,67.25,1.2125,broken clouds,0.0,1664841600.0,1665262800.0
12,Besancon,47.2380222,6.0243622,14.84,15.330000000000002,66.0,1.0675,broken clouds,0.0,1664841600.0,1665262800.0
13,Dijon,47.3215806,5.0414701,14.535,14.97,71.0,1.7025,scattered clouds,0.0,1664841600.0,1665262800.0
14,Annecy,45.8992348,6.1288847,17.0875,17.487499999999997,68.75,0.99,broken clouds,0.0,1664841600.0,1665262800.0
15,Grenoble,45.1875602,5.7357819,20.294999999999998,20.5875,61.0,1.24,few clouds,0.0,1664841600.0,1665262800.0
16,Lyon,45.7578137,4.8320114,17.252499999999998,17.744999999999997,64.25,0.88,scattered clouds,0.0,1664841600.0,1665262800.0
17,Bormes les Mimosas,43.1506968,6.3419285,20.0275,20.2375,65.5,2.0825,clear sky,0.0,1664841600.0,1665262800.0
18,Cassis,43.2140359,5.5396318,20.59,20.919999999999998,58.25,2.545,clear sky,0.0,1664841600.0,1665262800.0
19,Marseille,43.2961743,5.3699525,20.295,20.5525,62.5,2.8525,clear sky,0.0,1664841600.0,1665262800.0
20,Aix en Provence,43.5298424,5.4474738,20.8,21.387500000000003,46.75,2.3625,clear sky,0.0,1664841600.0,1665262800.0
21,Avignon,43.9492493,4.8059012,20.4575,20.895,54.25,2.2699999999999996,clear sky,0.0,1664841600.0,1665262800.0
22,Uzes,44.0121279,4.4196718,19.745,20.259999999999998,53.75,2.2575,clear sky,0.0,1664841600.0,1665262800.0
23,Nimes,43.8374249,4.3600687,20.29,20.805,51.75,2.045,clear sky,0.0,1664841600.0,1665262800.0
24,Aigues Mortes,43.5658225,4.1912837,19.197499999999998,19.6925,56.75,2.505,clear sky,0.0,1664841600.0,1665262800.0
25,Saintes Maries de la mer,43.4522771,4.4287172,18.6975,19.0575,64.25,3.38,clear sky,0.0,1664841600.0,1665262800.0
26,Collioure,42.52505,3.0831554,21.0975,21.365000000000002,59.0,1.9875,clear sky,0.0,1664841600.0,1665262800.0
27,Carcassonne,43.2130358,2.3491069,20.68,21.102500000000003,54.0,2.9000000000000004,clear sky,0.0,1664841600.0,1665262800.0
28,Toulouse,43.6044622,1.4442469,19.490000000000002,19.9975,55.0,0.87,clear sky,0.0,1664841600.0,1665262800.0
29,Montauban,44.0175835,1.3549991,19.505,19.96,57.25,1.0025,clear sky,0.0,1664841600.0,1665262800.0
30,Biarritz,43.4832523,-1.5592776,20.106666666666666,20.24,68.33333333333333,1.4933333333333334,clear sky,0.0,1664841600.0,1665262800.0
31,Bayonne,43.4945144,-1.4736657,20.73,20.87333333333333,65.66666666666667,1.4833333333333334,clear sky,0.0,1664841600.0,1665262800.0
32,La Rochelle,46.1591126,-1.1520434,17.826666666666664,18.19333333333333,67.33333333333333,2.473333333333333,clear sky,0.0,1664841600.0,1665262800.0
33,Gorges du Verdon,43.7496562,6.3285616,18.09,18.8425,50.0,2.1125000000000003,clear sky,0.0,1664841600.0,1665262800.0
34,Ariege,42.9455368,1.4065544156065486,14.89,15.7875,53.0,1.9525000000000001,clear sky,0.0,1664841600.0,1665262800.0
