iid,gender,wave,order,partner,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,you_call,them_cal,date_3,numdat_3,num_in_3
1,0,1,4,1,0,0.14,0,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,6.00,8.00,8.00,8.00,8.00,6.00,7.00,4.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,6.00,9.00,7.00,7.00,6.00,5.00,7.00,6.00,2,4.00,6,2,1,1,1,0,,
1,0,1,3,2,0,0.54,0,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,7.00,8.00,10.00,7.00,7.00,5.00,8.00,4.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7.00,8.00,7.00,8.00,5.00,6.00,7.00,5.00,1,4.00,6,2,1,1,1,0,,
1,0,1,10,3,1,0.16,1,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5.00,8.00,9.00,8.00,5.00,7.00,7.00,,1,4.00,6,2,1,1,1,0,,
1,0,1,5,4,1,0.61,0,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,8.00,9.00,8.00,9.00,8.00,7.00,7.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7.00,6.00,8.00,7.00,6.00,8.00,7.00,6.00,2,4.00,6,2,1,1,1,0,,
1,0,1,7,5,1,0.21,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,8.00,7.00,9.00,6.00,9.00,7.00,8.00,6.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,2,4.00,6,2,1,1,1,0,,
1,0,1,6,6,0,0.25,0,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,7.00,8.00,8.00,7.00,7.00,7.00,6.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0,4.00,9.00,7.00,4.00,6.00,4.00,6.00,5.00,2,4.00,6,2,1,1,1,0,,
1,0,1,1,7,0,0.34,0,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,3.00,6.00,7.00,5.00,8.00,7.00,2.00,1.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7.00,6.00,7.00,4.00,6.00,7.00,6.00,5.00,2,4.00,6,2,1,1,1,0,,
1,0,1,2,8,0,0.50,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.00,7.00,5.00,6.00,8.00,6.00,7.00,5.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,0,4.00,9.00,7.00,6.00,5.00,6.00,6.00,7.00,,4.00,6,2,1,1,1,0,,
1,0,1,8,9,1,0.28,0,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,7.00,7.00,8.00,8.00,8.00,9.00,6.50,8.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,7.00,6.00,8.00,9.00,8.00,8.00,7.00,7.00,2,4.00,6,2,1,1,1,0,,
1,0,1,9,10,0,-0.36,0,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2,21,Law,1.00,,,,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,1,5.00,6.00,6.00,8.00,10.00,8.00,6.00,6.00,2,4.00,6,2,1,1,1,0,,
2,0,1,10,1,0,0.29,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,8.00,7.00,6.00,9.00,7.00,4.00,7.00,2.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5.00,7.00,8.00,4.00,6.00,3.00,6.00,4.00,2,3.00,5,2,,0,0,0,,
2,0,1,9,2,0,0.18,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,7.00,6.00,10.00,6.00,6.00,5.00,8.00,4.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,8.00,5.00,6.00,6.00,9.00,6.00,7.00,3.00,2,3.00,5,2,,0,0,0,,
2,0,1,6,3,0,0.10,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5.00,8.00,9.00,6.00,3.00,4.00,6.00,7.00,2,3.00,5,2,,0,0,0,,
2,0,1,1,4,1,-0.21,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7.00,9.00,7.00,6.00,5.00,7.00,7.00,8.00,2,3.00,5,2,,0,0,0,,
2,0,1,3,5,0,0.32,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,10.00,10.00,10.00,10.00,7.00,8.00,10.00,1.00,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,6.00,8.00,7.00,9.00,7.00,8.00,8.00,6.00,1,3.00,5,2,,0,0,0,,
2,0,1,2,6,0,0.73,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,8.00,7.00,5.00,7.00,7.00,7.00,5.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,8.00,7.00,8.00,3.00,6.00,2.00,6.00,5.00,2,3.00,5,2,,0,0,0,,
2,0,1,7,7,0,0.60,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,5.00,3.00,4.00,3.00,5.00,3.00,4.00,3.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7.00,5.00,9.00,6.00,7.00,9.00,8.00,7.00,2,3.00,5,2,,0,0,0,,
2,0,1,8,8,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7.00,7.00,7.00,7.00,7.00,5.00,7.00,6.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,0,5.00,8.00,7.00,5.00,9.00,5.00,5.00,6.00,2,3.00,5,2,,0,0,0,,
2,0,1,4,9,1,0.11,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,8.00,6.00,9.00,9.00,8.00,7.00,8.00,8.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,7.00,6.00,8.00,9.00,4.00,5.00,5.00,6.00,2,3.00,5,2,,0,0,0,,
2,0,1,5,10,0,0.39,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,6.00,5.00,7.00,7.00,9.00,7.00,6.00,9.00,2,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,1,6.00,7.00,8.00,7.00,9.00,8.00,8.00,7.00,2,3.00,5,2,,0,0,0,,
3,0,1,6,1,0,-0.24,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,7.00,8.00,6.00,5.00,8.00,4.00,5.00,2.00,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7.00,9.00,10.00,7.00,8.00,9.00,8.00,7.00,1,,,,,,,,,
3,0,1,5,2,0,-0.14,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,7.00,10.00,6.00,6.00,5.00,7.00,3.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9.00,7.00,9.00,8.00,9.00,7.00,8.00,7.00,2,,,,,,,,,
3,0,1,2,3,0,0.09,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7.00,9.00,9.00,7.00,9.00,7.00,8.00,7.00,2,,,,,,,,,
3,0,1,7,4,0,-0.04,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,9.00,8.00,8.00,8.00,8.00,7.00,7.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9.00,7.00,9.00,7.00,9.00,7.00,8.00,7.00,2,,,,,,,,,
3,0,1,9,5,0,-0.14,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,6.00,10.00,8.00,6.00,,,6.00,1.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9.00,10.00,10.00,10.00,10.00,10.00,9.00,,2,,,,,,,,,
3,0,1,8,6,0,-0.30,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8.00,10.00,10.00,7.00,9.00,9.00,8.00,,2,,,,,,,,,
3,0,1,3,7,0,-0.26,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,6.00,3.00,5.00,4.00,5.00,4.00,2.00,2.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8.00,9.00,10.00,7.00,7.00,9.00,8.00,7.00,2,,,,,,,,,
3,0,1,4,8,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4.00,5.00,6.00,4.00,6.00,4.00,5.00,1.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7.00,9.00,9.00,8.00,9.00,7.00,8.00,7.00,2,,,,,,,,,
3,0,1,10,9,0,-0.15,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,7.00,7.00,6.00,8.00,7.00,7.00,7.00,7.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,2,,,,,,,,,
3,0,1,1,10,0,-0.47,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,5.00,6.00,8.00,5.00,8.00,6.00,5.00,5.00,2,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8.00,7.00,9.00,7.00,9.00,7.00,8.00,7.00,2,,,,,,,,,
4,0,1,3,1,0,-0.18,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,6.00,7.00,8.00,7.00,7.00,5.00,6.00,3.00,2,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,4.00,10.00,8.00,5.00,8.00,7.00,6.00,7.00,2,2.00,4,3,2,0,0,0,,
4,0,1,2,2,0,-0.18,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,5.00,10.00,6.00,6.00,5.00,6.00,3.00,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,8.00,7.00,8.00,10.00,7.00,8.00,8.00,1.00,1,2.00,4,3,2,0,0,0,,
4,0,1,9,3,0,0.05,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,4.00,7.00,8.00,8.00,6.00,7.00,4.00,1.00,2,2.00,4,3,2,0,0,0,,
4,0,1,4,4,1,-0.18,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,7.00,7.00,9.00,9.00,9.00,8.00,10.00,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,1,8.00,10.00,7.00,10.00,7.00,10.00,8.00,10.00,1,2.00,4,3,2,0,0,0,,
4,0,1,6,5,0,0.21,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,8.00,8.00,9.00,8.00,8.00,9.00,9.00,7.00,2,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,6.00,9.00,8.00,9.00,8.00,9.00,7.00,7.00,2,2.00,4,3,2,0,0,0,,
4,0,1,5,6,0,0.37,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,6.00,6.00,7.00,7.00,8.00,7.00,6.00,6.00,2,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,5.00,10.00,8.00,4.00,8.00,2.00,4.00,3.00,2,2.00,4,3,2,0,0,0,,
